,Exclude?,Race,Open  = 0; Closed =1,State prison Prison?,Probation,County Prison,Dismissal?,Prison in months,664-187 alleged?,12022.53(d) alleged,"Convicted of 664-187? 0 = no, 1 = yes","245(a)(2), (a)(3), or(b)  gun conviction","If convicted, 1=plea, 2=JT
0 = dismissal or pending
3 = acquittal","Someone shot? (0=no, 1=yes)",Docket,Defendant
47,,B,1,1.0,0.0,,0.0,72.0,1,1,0.0,1,1.0,1,8fb7cd89-6dbf-419a-b4bf-7fdb95107081,3909e2fd-52ee-4c0f-9520-3eb0fb21764d
48,,W,0,,,,,,0,0,0.0,0,0.0,1,4fe90726-b4e9-42b0-8bba-58e539ba9a3d,e71a7929-de6d-4562-86fc-bb6e5507ca88
49,,B,1,0.0,1.0,0.0,0.0,0.0,0,0,0.0,1,1.0,1,2a48cedd-91bd-4d45-a6a1-201411fd4720,be429453-0be3-48b4-ba54-f87e992f2f24
50,,H,0,,,,,,0,0,0.0,0,0.0,1,8d0cf580-b24b-4a94-b06e-7834bfcfd132,11c3b812-620c-4360-aa2a-00bad95f22d8
51,,B,1,0.0,0.0,,1.0,0.0,1,1,0.0,0,0.0,1,ff83c2f5-1ce0-49a1-aca3-acb0bde5f943,08331378-4ccc-47ca-a88d-b6f90f086edd
52,,W,1,0.0,0.0,,1.0,0.0,0,0,0.0,0,3.0,1,dde6f32f-3571-4ccb-b096-95507f77e4d8,3c20fd43-c885-4d0c-99c3-19d8a4157740
53,,H,1,1.0,0.0,,0.0,72.0,1,1,0.0,1,1.0,1,5b39e358-0cc0-47bb-a44a-7ba7b7adca48,29c52321-91e2-4b24-95e8-a7bd57ce9571
54,,W,1,0.0,0.0,,1.0,0.0,0,0,0.0,0,3.0,1,8ef08638-d858-4ce5-b579-1c222921de0e,4a1d8ad0-a64d-4d28-8d15-b8ade7d2a251
55,,H,1,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0,0.0,1,e3a910fe-3b70-4271-a818-707b5a89998a,6d1f8a32-8390-49d0-9b17-ac02ce86e05c
56,,H,1,1.0,0.0,,0.0,60.0,1,1,1.0,0,1.0,1,4e3cd24f-5eb5-460b-92e5-22b79eab1399,e3790171-83c2-431a-92a8-45a0e2171d3f
57,,H,1,1.0,0.0,,0.0,120.0,1,1,1.0,0,1.0,1,c597b660-ac68-47e3-861f-1752f6a076be,a0e114f3-ef31-4e61-8298-d065442d30ef
58,,H,0,,,,,,0,1,0.0,0,0.0,1,aafd2da6-0c56-45da-a59d-a71931a7ba48,3c8662d1-8268-4a05-ae4a-b0bd97732b58
59,1.0,H,0,,,,,,0,0,0.0,0,0.0,0,01fa26b7-0086-46a4-b810-b6454e0c4aa0,d370070c-fe7a-48b9-9406-2d21971ad8a2
60,,B,0,,,,,,1,1,,0,0.0,1,d50ebe19-ab10-4d6e-afb8-02a6db9f499f,7946c5c9-e960-4082-a1d9-c6685e1c0d09
61,,B,0,,,,,,0,0,0.0,0,0.0,1,a52cc201-3456-4144-b698-1a5b672051b1,da7022a7-3ee7-4dff-8e13-7de7abfcd9be
62,1.0,B,1,0.0,0.0,,1.0,0.0,0,1,0.0,0,,1,221f29ae-3760-4656-8e2b-b2a31b69d842,18bf5636-fd96-40dc-940d-e596335f5e22
63,,B,0,,,,,,1,1,,0,0.0,1,c92f7f49-02be-463e-9e62-1a0a90f22f53,18bf5636-fd96-40dc-940d-e596335f5e22
64,1.0,B,0,,,,,,0,1,,0,0.0,0,6a76b968-91a5-4761-a3aa-cd3ec19436fb,18bf5636-fd96-40dc-940d-e596335f5e22
65,1.0,B,1,1.0,0.0,,0.0,96.0,0,0,0.0,1,1.0,0,37a52d08-14e0-4cdc-b5d3-ee1a7202cdab,4dee340a-2c1e-4af9-a17b-4b01062b77f1
66,,H,1,1.0,0.0,,0.0,108.0,1,1,1.0,1,1.0,1,6f346e38-4385-4d5d-b33a-d522c50944a7,2a9d0bc7-a87b-4481-b6d4-2d2cfe2db229
67,,A,1,1.0,0.0,,0.0,180.0,1,1,1.0,1,1.0,1,5ca7a7ed-f434-40ee-940d-92b2a73ccee1,5307403a-d957-487f-aeee-fd0ddf20ed04
68,,H,0,,,,,,1,0,,0,0.0,1,08ccc855-3109-42e7-8d12-26dc95c84394,d903f753-f03f-4ae9-89a6-887fb12c22b1
69,,B,1,1.0,0.0,,0.0,240.0,1,1,0.0,1,1.0,1,4ed37d79-e49d-44d8-93c4-f142c65d4bb1,531fe925-1571-4ace-86f8-b7a13442807a
70,,W,1,1.0,0.0,,0.0,120.0,1,1,0.0,1,1.0,1,f1fca958-321c-465c-8b1f-cb3e1e96fed7,2789f27b-a12a-46c4-b97c-26334d934a40
71,,B,0,,,,,,0,0,0.0,0,0.0,1,66d41f4d-1ac8-4b32-81dc-bd68edf10271,cce332f7-e797-49ed-90de-8f48633fc428
72,,H,1,1.0,0.0,,0.0,68.0,1,1,0.0,0,1.0,1,af14d275-b67c-41b2-b2f2-f04d8165e0b6,103c7899-213e-4723-91db-4789b8a58685
73,,H,1,1.0,0.0,,0.0,184.0,1,1,0.0,1,2.0,1,11d06829-adef-491e-b8b3-fc61e15e8c1e,6091a637-9420-4b27-af96-32f0b99d07a2
74,,H,1,1.0,0.0,0.0,0.0,180.0,1,1,1.0,0,1.0,1,a23130fd-1155-4398-830f-3045c454f66e,5c9b908b-a2ec-47c3-bae0-514227a6adb1
75,,B,1,0.0,1.0,,0.0,0.0,0,0,0.0,0,1.0,1,5a691e2b-61dd-4835-b77f-f292fce72785,06a15b0f-6eb0-4aef-a395-870195067dc1
76,,B,0,,,,,,0,1,0.0,0,0.0,1,70138bfd-590c-471e-8dd5-6661c45dbf4c,51d7defd-c365-4ebb-9809-1aabe53f42c1
77,,B,1,0.0,1.0,,0.0,0.0,0,0,0.0,0,1.0,1,a017e723-b955-4da2-b819-a77ae480b1f0,7ef2ebe9-9ce7-43e5-bdea-e1c3b07695d6
78,,H,1,0.0,1.0,0.0,0.0,0.0,0,0,0.0,1,1.0,1,193cd300-3ef3-4299-a370-0ad4d5a060d1,dcffada2-9d58-4639-b3a2-32c02d0abed5
79,,H,1,1.0,0.0,,0.0,144.0,1,1,0.0,1,1.0,1,bbc9dc2c-5e30-404f-a5a4-eeface5ffcdf,58e68ace-57c7-417c-a69d-52b78923290e
80,,A,1,0.0,1.0,,0.0,0.0,1,1,0.0,1,1.0,1,44fb6e37-243d-468f-adf9-c6447c3106d3,54cafc17-cd65-47e1-9785-971cee30887c
81,,B,1,1.0,0.0,,0.0,76.0,1,1,0.0,0,1.0,1,a02d3039-b726-4054-99bb-9a86fe6942c0,01275c4d-dd0c-4769-87ef-032c2508586c
82,,B,1,1.0,0.0,0.0,0.0,180.0,1,1,1.0,0,1.0,1,e8c09877-d78d-416f-bff1-6bb67304c242,8536ad1b-bad8-491b-aaf6-122c07986492
83,,W,1,1.0,0.0,,0.0,192.0,1,1,0.0,1,1.0,1,98ff8e79-01ed-43cd-97ef-130726513bbf,5679094e-f8b6-4588-a28c-1973d12894f8
84,,B,1,1.0,0.0,,0.0,80.0,1,1,0.0,1,1.0,1,3614b80d-093b-412e-a970-ec6adedf1a36,4907b00c-5822-4edd-a418-dea21550448b
85,,B,1,1.0,0.0,,0.0,120.0,1,1,0.0,1,1.0,1,119e00b7-3ef3-4a33-9d65-51d3faa978a6,13f35b4b-f939-47ab-9042-d2d5ebeba17d
86,,B,1,1.0,0.0,,0.0,216.0,1,1,1.0,0,1.0,1,9b1ee7e6-9289-4bd5-b7cb-9028d8f67862,b68aeaa2-6044-47df-a2aa-42fb1e3e0316
87,,H,1,1.0,0.0,,0.0,86.0,1,1,0.0,0,1.0,1,858f0848-0b95-4a37-82ad-8fe857ed80b8,746272c5-29ef-4dbe-89cd-adc3b11226b6
88,,W,1,1.0,0.0,,0.0,24.0,1,1,0.0,1,1.0,1,204015a5-62f2-4ef4-a5a2-ec9bbe2e90ca,778d4a0a-4fd0-40ef-b209-2e98ec1626d1
89,,B,1,0.0,1.0,,0.0,0.0,1,1,0.0,0,1.0,1,326836a5-0ac7-4f47-bb5c-520367ce7423,79e22ff6-323d-4524-ba8e-d1043e5cf1d0
90,,W,1,0.0,1.0,,0.0,0.0,0,0,0.0,0,1.0,1,18ab7496-a76e-4f3e-af6c-92eae428a08f,a8b17b8a-5bd1-47b1-a32c-9b616728e2b9
91,,B,1,1.0,0.0,,0.0,228.0,1,1,1.0,1,1.0,1,fce87a7c-0f34-48bc-ac65-e1e743ba359a,6f4e83e2-4506-4d8e-b499-3d5307483cc4
92,,B,1,1.0,0.0,,0.0,156.0,0,1,0.0,0,1.0,1,b6a1d8fe-b8c7-4818-9eda-06ca7795bd17,b32006dc-ef21-4e8a-a5f3-24856481464f
93,1.0,B,1,0.0,0.0,,1.0,0.0,1,1,0.0,0,0.0,1,c3d28882-d446-4893-9dfe-602bef24ceef,32b7a3ab-7dff-435e-bf57-ff85dd102738
94,1.0,B,1,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0,1.0,0,7f9e405e-9ad0-4960-b3ae-b7ec6aef1b69,11565bb0-f666-475a-9757-f4f998d82006
95,,B,0,,,,,,0,1,0.0,0,0.0,1,878c7fb9-555a-4f4c-86b1-a682e875f67f,3d254d00-fe93-43ba-9328-d0f45d2aaf03
96,,H,1,1.0,0.0,,0.0,120.0,1,1,0.0,1,1.0,1,97f193d0-2847-4e89-8656-2c522ef3b418,f52a2277-89eb-4458-8464-63366fbc6e53
